type,category,function,code,translate_key,name,word,word_default,multiple_row_flg,admin_flg
1,3,10,11,reminder/pwEdit/submitBtn,リマインダー/パスワード編集/送信ボタン,パスワードを設定,パスワードを設定,0,0
1,3,10,12,reminder/submitBtn,リマインダー/送信ボタン,リマインダーメールを受信する,リマインダーメールを受信する,0,0
1,4,11,1,user/agreeUserTerms,会員/個人情報規約に同意するチェック,個人情報規約に同意する,個人情報規約に同意する,0,0
1,4,11,2,user/detail/editBtn,会員詳細/編集ボタン,編集,編集,0,0
1,4,11,3,user/detail/passwordEditBtn,会員詳細/パスワード変更ボタン,パスワードを変更,パスワードを変更,0,0
1,4,11,4,user/detail/withdrawBtn,会員詳細/退会リンク,退会の手続きはこちら,退会の手続きはこちら,0,0
1,4,11,5,user/nextBtn,会員入力画面/確認ボタン,内容確認へ進む,内容確認へ進む,0,0
1,4,11,6,user/passwordEdit/backBtn,パスワード編集/戻るボタン,戻る,戻る,0,0
1,4,11,7,user/passwordEdit/dialogMessage,パスワード編集/ダイアログメッセージ,パスワードを変更します。よろしいですか？,パスワードを変更します。よろしいですか？,0,0
1,4,11,8,user/passwordEdit/dialogTitle,パスワード編集/ダイアログタイトル,password変更,password変更,0,0
1,4,11,9,user/passwordEdit/message,パスワード編集/説明文言,現在のパスワードと新しいパスワードを入力してください,現在のパスワードと新しいパスワードを入力してください,1,0
1,4,11,10,user/passwordEdit/newPassword,パスワード編集/新しいパスワード,新しいパスワード,新しいパスワード,0,0
1,4,11,11,user/passwordEdit/newPasswordConf,パスワード編集/新しいパスワード確認,新しいパスワード（確認）,新しいパスワード（確認）,0,0
1,4,11,12,user/passwordEdit/nextBtn,パスワード編集/変更するボタン,パスワードを変更する,パスワードを変更する,0,0
1,4,11,13,user/passwordEdit/oldPassword,パスワード編集/現在のパスワード,現在のパスワード,現在のパスワード,0,0
1,4,11,14,user/passwordEditFinish/message,パスワード編集完了画面/メッセージ,パスワードを更新しました。,パスワードを更新しました。,1,0
